sku,platform,days_tracked,days_oos,longest_oos_streak,max_discount,avg_discount
MCBW200,shopify,1,0,0,0.0,0.0
MCBW200,smytten,1,0,0,,
MDC125,amazon,1,0,0,,
MDC125,flipkart,1,0,0,,
MDC125,myntra,1,0,0,,
MDC125,nykaa,1,0,0,,
MDC125,shopify,1,0,0,0.0,0.0
MFGK,amazon,1,0,0,100.0,100.0
MFGK,flipkart,1,0,0,,
MFGK,myntra,1,0,0,,
MFGK,nykaa,1,0,0,,
MFGK,shopify,1,0,0,0.0,0.0
MFGK,smytten,1,0,0,,
MHFC125,amazon,1,0,0,,
MHFC125,flipkart,1,0,0,,
MHFC125,myntra,1,0,0,,
MHFC125,nykaa,1,0,0,,
MHFC125,shopify,1,0,0,0.0,0.0
MHM125,amazon,1,0,0,,
MHM125,flipkart,1,0,0,,
MHM125,myntra,1,0,0,,
MHM125,nykaa,1,0,0,,
MHM125,shopify,1,0,0,0.0,0.0
MOA50,amazon,1,0,0,50.0,50.0
MOA50,myntra,1,0,0,,
MOA50,nykaa,1,0,0,,
MOA50,shopify,1,0,0,0.0,0.0
MPSS50,amazon,1,0,0,50.0,50.0
MPSS50,flipkart,1,0,0,,
MPSS50,myntra,1,0,0,,
MPSS50,nykaa,1,0,0,,
MPSS50,shopify,1,0,0,0.0,0.0
MSB50,amazon,1,0,0,0.0,0.0
MSB50,myntra,1,0,0,,
MSB50,nykaa,1,0,0,,
MSB50,shopify,1,0,0,0.0,0.0
MSB50,smytten,1,0,0,,
NCFS30,amazon,1,0,0,,
NCFS30,flipkart,1,0,0,,
NCFS30,myntra,1,0,0,,
NCFS30,nykaa,1,0,0,,
NCFS30,shopify,1,0,0,0.0,0.0
NCFS30,smytten,1,0,0,,
NPFW30,amazon,1,0,0,70.0,70.0
NPFW30,myntra,1,0,0,,
NPFW30,nykaa,1,0,0,,
NPFW30,shopify,1,0,0,0.0,0.0
NPFW30,smytten,1,0,0,,
NSLBBS,amazon,1,0,0,0.0,0.0
NSLBBS,flipkart,1,0,0,,
NSLBBS,myntra,1,0,0,,
NSLBBS,shopify,1,0,0,0.0,0.0
NSLBBS,smytten,1,0,0,,
OAISSS50,amazon,1,0,0,50.0,50.0
OAISSS50,myntra,1,0,0,,
OAISSS50,shopify,1,0,0,0.0,0.0
OAISSS50,smytten,1,0,0,,
OASM50,amazon,1,0,0,22.8,22.8
OASM50,flipkart,1,0,0,,
OASM50,myntra,1,0,0,,
OASM50,nykaa,1,0,0,,
OASM50,shopify,1,0,0,0.0,0.0
OASM50,smytten,1,0,0,,
OBOS8,amazon,1,0,0,52.0,52.0
OBOS8,flipkart,1,0,0,,
OBOS8,myntra,1,0,0,,
OBOS8,nykaa,1,0,0,,
OBOS8,shopify,1,0,0,0.0,0.0
OBOS8,smytten,1,0,0,,
ONO100,amazon,1,0,0,100.0,100.0
ONO100,flipkart,1,0,0,,
ONO100,myntra,1,0,0,,
ONO100,nykaa,1,0,0,,
ONO100,shopify,1,0,0,0.0,0.0
ONO100,smytten,1,0,0,,
PAO100A,amazon,1,0,0,0.0,0.0
PAO100A,flipkart,1,0,0,,
PAO100A,myntra,1,0,0,,
PAO100A,nykaa,1,0,0,,
PAO100A,shopify,1,0,0,0.0,0.0
PAO100A,smytten,1,0,0,,
PCAO200A,amazon,1,0,0,,
PCAO200A,flipkart,1,0,0,,
PCAO200A,myntra,1,0,0,,
PCAO200A,nykaa,1,0,0,,
PCAO200A,shopify,1,0,0,0.0,0.0
PCAO200A,smytten,1,0,0,,
PCO200A,amazon,1,0,0,0.0,0.0
PCO200A,flipkart,1,0,0,,
PCO200A,myntra,1,0,0,,
PCO200A,nykaa,1,0,0,,
PCO200A,shopify,1,0,0,0.0,0.0
PCO200A,smytten,1,0,0,,
PRMEO15A,amazon,1,0,0,85.0,85.0
PRMEO15A,flipkart,1,0,0,,
PRMEO15A,myntra,1,0,0,,
PRMEO15A,nykaa,1,0,0,,
PRMEO15A,shopify,1,0,0,0.0,0.0
PRMEO15A,smytten,1,0,0,,
RCBL200,amazon,1,0,0,,
RCBL200,flipkart,1,0,0,,
RCBL200,myntra,1,0,0,,
RCBL200,nykaa,1,0,0,,
RCBL200,shopify,1,0,0,0.0,0.0
RCBL200,smytten,1,0,0,,
RCBW200,amazon,1,0,0,,
RCBW200,myntra,1,0,0,,
RCBW200,shopify,1,0,0,0.0,0.0
RCBW200,smytten,1,0,0,,
RMO100,amazon,1,0,0,0.0,0.0
RMO100,flipkart,1,0,0,,
RMO100,myntra,1,0,0,,
RMO100,nykaa,1,0,0,,
RMO100,shopify,1,0,0,0.0,0.0
RMO100,smytten,1,0,0,,
RMOS8,amazon,1,0,0,52.0,52.0
RMOS8,flipkart,1,0,0,,
RMOS8,myntra,1,0,0,,
RMOS8,nykaa,1,0,0,,
RMOS8,shopify,1,0,0,0.0,0.0
RMOS8,smytten,1,0,0,,
RMSH200,amazon,1,0,0,,
RMSH200,flipkart,1,0,0,,
RMSH200,myntra,1,0,0,,
RMSH200,nykaa,1,0,0,,
RMSH200,shopify,1,0,0,0.0,0.0
RMSH200,smytten,1,0,0,,
RPFW30,amazon,1,0,0,100.0,100.0
RPFW30,flipkart,1,0,0,,
RPFW30,myntra,1,0,0,,
RPFW30,nykaa,1,0,0,,
RPFW30,shopify,1,0,0,0.0,0.0
RPFW30,smytten,1,0,0,,
RRGK,amazon,1,0,0,0.0,0.0
RRGK,flipkart,1,0,0,,
